Row Index, Column Index
1027689, 1121919
1031320, 1119160
1072852, 1275456
1076802, 1177356
1106490, 1026159
1108192, 1003851
1114389, 1018217
1125451, 1035769
1128744, 1003045
1129875, 7444354
1159060, 1110118
1168010, 1317644
1176016, 2604330
1192230, 1462384
1208267, 1355866
1250048, 1065167
1253600, 1163877
1256661, 1055685
1310216, 1380368
1348373, 1198487
1361160, 1275739
1365540, 1004198
1378980, 2509648
1380964, 1082880
1383859, 1006564
1388447, 1218205
1393791, 1127943
1395542, 1028298
1411666, 1796706
1413552, 1119707
1414351, 1101890
1421135, 1278577
1436495, 1061918
1450217, 1340073
1468092, 1011325
1478187, 1233823
1478458, 1424208
1480655, 1111766
1538044, 1258222
1540147, 1263360
1558755, 1115979
1565351, 3174002
1570479, 1086802
1587060, 1282323
1587671, 1025028
1590214, 1011428
1590477, 1191098
1624215, 1115351
1671187, 2074444
1676594, 1189418
1677204, 1038343
1693867, 1483625
1695838, 1240268
1752337, 1578522
1752780, 1027125
1756699, 1601433
1763216, 2800964
1786205, 1189441
1789554, 2690131
1816154, 1076809
1817069, 1013329
1825828, 1669226
1842482, 1179273
1867787, 1341629
1921828, 1081454
1957272, 1018331
1963423, 1023091
1971757, 1176418
1992650, 1067391
2007462, 1310776
2007734, 2542427
2009743, 3013133
2042258, 1011413
2050252, 9643890
2059171, 1014173
2071481, 1028099
2078602, 1065673
2110014, 1004250
2150502, 1178049
2175276, 1092637
2192784, 1004107
2214665, 1408550
2228910, 1121224
2236439, 2062106
2274071, 1044022
2352538, 1382692
2395423, 1337413
2399988, 1114614
2555743, 1025648
2629602, 1505300
2635656, 1081386
2663920, 1547213
2705099, 1131331
2719231, 2241413
2800139, 1332886
2836887, 1150917
2837411, 1047419
2856145, 1275112
2909473, 1076975
2923446, 2211145
2972611, 1026861
2978281, 1277564
2985315, 1002893
3041963, 3361500
3068580, 1701203
3077865, 1164692
3080482, 1440114
3084515, 8621907
3103473, 1190025
3109813, 1038112
3116371, 1739362
3133359, 1352011
3143380, 2055488
3164642, 1951435
3180115, 1297958
3209315, 1017022
3260027, 3291095
3328810, 1189401
3354603, 2857612
3355570, 1262880
3373488, 1177807
3373691, 1196214
3407426, 1202373
3430209, 1444523
3446019, 2194988
3446159, 1188581
3449198, 3415867
3461876, 1214234
3462096, 1808008
3464392, 1408106
3487733, 2032782
3950147, 1303207
4219198, 1259815
4921582, 1395996
5299417, 1000186
5801381, 1608232
5865348, 1289645
6371943, 1051954
7021338, 1178007
7560321, 1513882
7951777, 1123270
8334185, 1130305
8641799, 1008991
9938557, 1089420
